season,week,norm_week,tau_distance,pearson_correlation
1,1,0.0,0.3333333333333333,-0.27223694956241834
1,2,0.2,0.4,0.41856476894997313
1,3,0.4,0.4,0.7436174015290825
1,4,0.6,0.3333333333333333,0.10688655286209184
1,5,0.8,0.6666666666666666,-0.958743200228399
1,6,1.0,0.0,1.0
2,1,0.0,0.4444444444444444,0.2722266963132036
2,2,0.14285714285714285,0.4722222222222222,0.3065171562372113
2,3,0.2857142857142857,0.42857142857142855,0.2374885133233641
2,4,0.42857142857142855,0.3333333333333333,0.39160115266385376
2,5,0.5714285714285714,0.5333333333333333,0.07528173694744882
2,6,0.7142857142857143,0.4,0.40024009534582744
2,7,0.8571428571428571,0.5,0.23236988203597173
2,8,1.0,0.3333333333333333,0.4215225211131396
3,1,0.0,0.2909090909090909,0.5046328735470509
3,2,0.1111111111111111,0.3111111111111111,0.320798452448179
3,3,0.2222222222222222,0.4444444444444444,-0.22685951588832418
3,4,0.3333333333333333,0.32142857142857145,0.36699057266809954
3,5,0.4444444444444444,0.19047619047619047,0.49455152629282606
3,6,0.5555555555555556,0.1,0.8667948306975324
3,7,0.6666666666666666,0.1,0.9673061828521797
3,8,0.7777777777777778,0.16666666666666666,0.4640948488834918
3,9,0.8888888888888888,0.0,
3,10,1.0,0.0,
4,1,0.0,0.2545454545454545,0.6349777932429352
4,2,0.1111111111111111,0.05454545454545454,0.8893838607635036
4,3,0.2222222222222222,0.15555555555555556,0.7300359022583944
4,4,0.3333333333333333,0.05555555555555555,0.9178321262028958
4,5,0.4444444444444444,0.10714285714285714,0.9428049612142964
4,6,0.5555555555555556,0.047619047619047616,0.9115413539694621
4,7,0.6666666666666666,0.2,0.815835532281439
4,8,0.7777777777777778,0.0,0.9769164172062761
4,9,0.8888888888888888,0.3333333333333333,0.24118731167223656
4,10,1.0,0.0,0.9937891993446804
5,1,0.0,0.3333333333333333,0.24839107113089626
5,2,0.1111111111111111,0.5272727272727272,-0.17885934548980162
5,3,0.2222222222222222,0.5555555555555556,-0.06447482804142557
5,4,0.3333333333333333,0.4444444444444444,-0.18098710778205523
5,5,0.4444444444444444,0.42857142857142855,-0.01490149217296538
5,6,0.5555555555555556,0.3333333333333333,0.3761063566439382
5,7,0.6666666666666666,0.4,0.09769941774347807
5,8,0.7777777777777778,0.2,0.8237383225726684
5,9,0.8888888888888888,0.0,0.9381643555148396
5,10,1.0,0.3333333333333333,0.9408473007139446
6,1,0.0,0.22727272727272727,0.6657715731409853
6,2,0.1111111111111111,0.19696969696969696,0.7055566026929715
6,3,0.2222222222222222,0.08888888888888889,0.9005841449727376
6,4,0.3333333333333333,0.19444444444444445,0.6921594535489244
6,5,0.4444444444444444,0.39285714285714285,0.5453228548977418
6,6,0.5555555555555556,0.3333333333333333,0.6627773269240541
6,7,0.6666666666666666,0.3333333333333333,0.4275370449836879
6,8,0.7777777777777778,0.4,0.47593454434297855
6,9,0.8888888888888888,0.16666666666666666,0.8298055520845309
6,10,1.0,0.0,0.8703967976427363
7,1,0.0,0.38461538461538464,0.38881211819846084
7,2,0.1111111111111111,0.43636363636363634,0.1455565410213792
7,3,0.2222222222222222,0.3611111111111111,0.3187108858200115
7,4,0.3333333333333333,0.3333333333333333,0.2688551336154045
7,5,0.4444444444444444,0.21428571428571427,0.816011491532498
7,6,0.5555555555555556,0.42857142857142855,0.23592395258320548
7,7,0.6666666666666666,0.4,0.3784402669642072
7,8,0.7777777777777778,0.3,0.5162154797219078
7,9,0.8888888888888888,0.6666666666666666,-0.7130515008646634
7,10,1.0,0.0,0.9467433189206558
8,1,0.0,0.47435897435897434,-0.03138017019467357
8,2,0.1,0.5256410256410257,-0.048012478451943515
8,3,0.2,0.3939393939393939,0.13062247008652672
8,4,0.3,0.43636363636363634,0.06814227273905638
8,5,0.4,0.3611111111111111,0.4768059830748211
8,6,0.5,0.25,0.576818783025574
8,7,0.6,0.42857142857142855,0.2545858616806729
8,8,0.7,0.26666666666666666,0.5417454621383835
8,9,0.8,0.4,0.3509556251212309
8,10,0.9,0.16666666666666666,0.5849952609988336
8,11,1.0,0.0,0.9964887336570429
9,1,0.0,0.325,0.4413724389553583
9,2,0.1111111111111111,0.21978021978021978,0.4559792284886842
9,3,0.2222222222222222,0.21794871794871795,0.5893567423534284
9,4,0.3333333333333333,0.38181818181818183,0.17423410973222844
9,5,0.4444444444444444,0.35555555555555557,0.47271116858811174
9,6,0.5555555555555556,0.3611111111111111,0.4170950036752945
9,7,0.6666666666666666,0.38095238095238093,0.2245468157696018
9,8,0.7777777777777778,0.5,0.2731790051610601
9,9,0.8888888888888888,0.5,0.09206641060121573
9,10,1.0,0.0,0.9981693411350859
10,1,0.0,0.16363636363636364,0.7640092975097941
10,2,0.1111111111111111,0.18181818181818182,0.824021222744937
10,3,0.2222222222222222,0.1111111111111111,0.710373268288589
10,4,0.3333333333333333,0.2222222222222222,0.7769940843542078
10,5,0.4444444444444444,0.14285714285714285,0.9114019584392561
10,6,0.5555555555555556,0.2857142857142857,0.5081331416676262
10,7,0.6666666666666666,0.2,0.7194679247508037
10,8,0.7777777777777778,0.1,0.9011597072063602
10,9,0.8888888888888888,0.0,0.9069015308890348
10,10,1.0,0.3333333333333333,0.887780607597364
11,1,0.0,0.19696969696969696,0.6658422273971019
11,2,0.1111111111111111,0.16363636363636364,0.6788156819759119
11,3,0.2222222222222222,0.26666666666666666,0.8202849261640083
11,4,0.3333333333333333,0.1388888888888889,0.8777869532248178
11,5,0.4444444444444444,0.25,0.6352436737540664
11,6,0.5555555555555556,0.3333333333333333,0.49740655497595426
11,7,0.6666666666666666,0.2,0.8482034058110429
11,8,0.7777777777777778,0.0,0.9313204664476094
11,9,0.8888888888888888,0.16666666666666666,0.9434648140776266
11,10,1.0,0.0,0.9810208380813948
12,1,0.0,0.4,0.4567087495707606
12,2,0.1111111111111111,0.3090909090909091,0.3927861854317747
12,3,0.2222222222222222,0.2222222222222222,0.6099980970201138
12,4,0.3333333333333333,0.4722222222222222,0.00026630848438850656
12,5,0.4444444444444444,0.39285714285714285,-0.09709539195099723
12,6,0.5555555555555556,0.5238095238095238,-0.1575472664774254
12,7,0.6666666666666666,0.3333333333333333,0.4340027488096091
