season,week,norm_week,rank_align_j,rank_align_f,pct_align_j,pct_align_f,rank_bias,pct_bias
1,1,0.0,0.5449492609130661,0.6,0.5449492609130661,0.6,0.05505073908693392,0.05505073908693392
1,2,0.2,0.5520524474738834,0.6900655593423541,0.7333333333333333,0.4666666666666666,0.13801311186847076,0.26666666666666666
1,3,0.4,0.6708203932499368,0.6708203932499368,0.7999999999999999,0.39999999999999997,0.0,0.39999999999999997
1,4,0.6,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.0,0.0
1,5,0.8,0.33333333333333337,0.33333333333333337,1.0,-0.33333333333333337,0.0,1.3333333333333335
2,1,0.0,0.5681818181818181,0.5393598899705937,0.3595732599803958,0.7333333333333333,0.028821928211224423,0.3737600733529375
2,2,0.14285714285714285,0.6285714285714286,0.4225771273642583,0.5352643613280604,0.5,0.20599430120717027,0.035264361328060434
2,3,0.2857142857142857,0.5661385170722979,0.5455447255899809,0.5929994533288809,0.4999999999999999,0.020593791482316992,0.09299945332888104
2,4,0.42857142857142855,0.6499999999999999,0.6831300510639733,0.6831300510639733,0.6190476190476191,0.033130051063973376,0.06408243201635422
2,5,0.5714285714285714,0.5520524474738834,0.41403933560541256,0.6,0.3333333333333333,0.13801311186847082,0.26666666666666666
2,6,0.7142857142857143,0.5892556509887896,0.5270462766947299,0.6708203932499368,0.39999999999999997,0.062209374294059705,0.27082039324993684
2,7,0.8571428571428571,0.7999999999999999,0.18257418583505539,0.5477225575051662,0.3333333333333334,0.6174258141649446,0.21438922417183276
2,8,1.0,0.816496580927726,0.816496580927726,0.33333333333333337,1.0,0.0,0.6666666666666666
3,1,0.0,0.7476962054560591,0.6853027025833883,0.697277051246695,0.7090909090909091,0.06239350287267076,0.01181385784421407
3,2,0.1111111111111111,0.6430394361098803,0.7047274841194893,0.48890120703870477,0.8222222222222221,0.06168804800960892,0.3333210151835173
3,3,0.2222222222222222,0.4642383454426297,0.5,0.21664456120656053,0.7222222222222222,0.03576165455737029,0.5055776610156617
3,4,0.3333333333333333,0.6928203230275509,0.6182840223353117,0.6425396041156863,0.6428571428571428,0.07453630069223927,0.0003175387414564579
