season,week,celebrity_name,s_hat,p10,p50,p90,certainty_interval_width,q_iw,elim_week,placement
1,1,John O'Hurley,0.19285714283785715,0.19285714283785715,0.19285714283785715,0.19285714283785715,0.0,0.19285714285714284,12,2
1,1,Kelly Monaco,0.3357142856807143,0.3357142856807143,0.3357142856807143,0.3357142856807143,0.0,0.3357142857142857,12,1
1,1,Evander Holyfield,0.10714285713214285,0.10714285713214285,0.10714285713214285,0.10714285713214285,0.0,0.10714285714285712,3,5
1,1,Rachel Hunter,0.12142857141642857,0.12142857141642857,0.12142857141642857,0.12142857141642857,0.0,0.12142857142857141,4,4
1,1,Joey McIntyre,0.14523809522357145,0.14523809522357145,0.14523809522357145,0.14523809522357145,0.0,0.14523809523809522,12,3
1,1,Trista Sutter,0.09761904760928572,0.09761904760928572,0.09761904760928572,0.09761904760928572,0.0,0.0976190476190476,2,6
1,2,John O'Hurley,0.1661089985687374,0.1661089985687374,0.1661089985687374,0.1661089985687374,0.0,0.17285714285714285,12,2
1,2,Kelly Monaco,0.40570959113440047,0.40570959113440047,0.40570959113440047,0.40570959113440047,0.0,0.4057142857142857,12,1
1,2,Evander Holyfield,0.13588699706952473,0.13588699706952473,0.13588699706952473,0.13588699706952473,0.0,0.10214285714285712,3,5
1,2,Rachel Hunter,0.10172317322695137,0.10172317322695137,0.10172317322695137,0.10172317322695137,0.0,0.10142857142857142,4,4
1,2,Joey McIntyre,0.12080270422141563,0.12080270422141563,0.12080270422141563,0.12080270422141563,0.0,0.12523809523809523,12,3
1,2,Trista Sutter,0.06976853577897035,0.06976853577897035,0.06976853577897035,0.06976853577897035,0.0,0.09261904761904761,2,6
1,3,John O'Hurley,0.18315789471852634,0.18315789471852634,0.18315789471852634,0.18315789471852634,0.0,0.17443609022556392,12,2
1,3,Kelly Monaco,0.3828947368038158,0.3828947368038158,0.3828947368038158,0.3828947368038158,0.0,0.36466165413533835,12,1
1,3,Evander Holyfield,0.19263157892810526,0.19263157892810526,0.19263157892810526,0.19263157892810526,0.0,0.18345864661654132,3,5
1,3,Rachel Hunter,0.1081578947260263,0.1081578947260263,0.1081578947260263,0.1081578947260263,0.0,0.10300751879699246,4,4
1,3,Joey McIntyre,0.1331578947235263,0.1331578947235263,0.1331578947235263,0.1331578947235263,0.0,0.12681704260651627,12,3
1,3,Trista Sutter,0.0,0.0,0.0,0.0,0.0,0.04761904761904761,2,6
1,4,John O'Hurley,0.22190913166310056,0.22190913166310056,0.22190913166310056,0.23181746992252433,0.009908338259423777,0.21344537815126047,12,2
1,4,Kelly Monaco,0.3532434515169428,0.3532434515169428,0.3532434515169428,0.39192316280949935,0.03867971129255654,0.3739495798319328,12,1
1,4,Evander Holyfield,0.0,0.0,0.0,0.0,0.0,0.05714285714285713,3,5
1,4,Rachel Hunter,0.12884945114143537,0.12884945114143537,0.12884945114143537,0.14672125729311358,0.017871806151678216,0.14201680672268907,4,4
1,4,Joey McIntyre,0.2959979656785212,0.22953810991486284,0.2959979656785212,0.2959979656785212,0.06645985576365837,0.16582633053221288,12,3
1,4,Trista Sutter,0.0,0.0,0.0,0.0,0.0,0.04761904761904761,2,6
1,5,John O'Hurley,0.2854602045068031,0.2854602045068031,0.2854602045068031,0.2854602045068031,0.0,0.23516483516483522,12,2
1,5,Kelly Monaco,0.45887060911373945,0.45887060911373945,0.45887060911373945,0.45887060911373945,0.0,0.37802197802197807,12,1
1,5,Evander Holyfield,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,3,5
1,5,Rachel Hunter,0.0,0.0,0.0,0.0,0.0,0.07142857142857144,4,4
1,5,Joey McIntyre,0.2556691862794575,0.2556691862794575,0.2556691862794575,0.2556691862794575,0.0,0.21062271062271065,12,3
1,5,Trista Sutter,0.0,0.0,0.0,0.0,0.0,0.04761904761904762,2,6
1,6,John O'Hurley,0.29479768783179194,0.29479768783179194,0.29479768783179194,0.29479768783179194,0.0,0.24285714285714283,12,2
1,6,Kelly Monaco,0.4682080924387284,0.4682080924387284,0.4682080924387284,0.4682080924387284,0.0,0.3857142857142857,12,1
1,6,Evander Holyfield,0.0,0.0,0.0,0.0,0.0,0.05714285714285713,3,5
1,6,Rachel Hunter,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,4,4
1,6,Joey McIntyre,0.23699421962947978,0.23699421962947978,0.23699421962947978,0.23699421962947978,0.0,0.1952380952380952,12,3
1,6,Trista Sutter,0.0,0.0,0.0,0.0,0.0,0.04761904761904761,2,6
2,1,Tatum O'Neal,0.05656456794627233,0.05656456794627233,0.05656456794627233,0.05656456794627233,0.0,0.05655466738924266,2,9
2,1,Tia Carrere,0.0697926669098779,0.0697926669098779,0.0697926669098779,0.0697926669098779,0.0,0.06983200108386399,5,6
2,1,George Hamilton,0.07773513569633339,0.07773513569633339,0.07773513569633339,0.07773513569633339,0.0,0.07779840130063678,6,5
2,1,Lisa Rinna,0.08966291226504716,0.08966291226504716,0.08966291226504716,0.08966291226504716,0.0,0.08974800162579598,7,4
2,1,Stacy Keibler,0.10957876868081144,0.10957876868081144,0.10957876868081144,0.10957876868081144,0.0,0.10966400216772797,12,3
2,1,Jerry Rice,0.14945742964002665,0.14945742964002665,0.14945742964002665,0.14945742964002665,0.0,0.14949600325159193,12,2
2,1,Giselle Fernandez,0.05987120405169332,0.05987120405169332,0.05987120405169332,0.05987120405169332,0.0,0.05987400081289799,3,8
2,1,Master P,0.0673910378285385,0.0673910378285385,0.0673910378285385,0.0673910378285385,0.0,0.06414171521474056,4,7
2,1,Drew Lachey,0.2689911319132487,0.2689911319132487,0.2689911319132487,0.2689911319132487,0.0,0.2689920065031839,12,1
2,1,Kenny Mayne,0.05095514506815066,0.05095514506815066,0.05095514506815066,0.05095514506815066,0.0,0.0538992006503184,1,10
2,2,Tatum O'Neal,0.04703357084116304,0.04703357084116304,0.04703357084116304,0.04703357084116304,0.0,0.045909506098920076,2,9
2,2,Tia Carrere,0.06559317388861338,0.06559317388861338,0.06559317388861338,0.06559317388861338,0.0,0.06402554947096076,5,6
2,2,George Hamilton,0.09358335578572957,0.09358335578572957,0.09358335578572957,0.09358335578572957,0.0,0.09134678839741098,6,5
2,2,Lisa Rinna,0.09591116964635449,0.09591116964635449,0.09591116964635449,0.09591116964635449,0.0,0.09361896936773145,7,4
2,2,Stacy Keibler,0.10144325353843978,0.10144325353843978,0.10144325353843978,0.10144325353843978,0.0,0.09901884087740538,12,3
2,2,Jerry Rice,0.1422505155613973,0.1422505155613973,0.1422505155613973,0.1422505155613973,0.0,0.13885084196126934,12,2
2,2,Giselle Fernandez,0.05043417600974283,0.05043417600974283,0.05043417600974283,0.05043417600974283,0.0,0.0492288395225754,3,8
2,2,Master P,0.13907848299828957,0.13907848299828957,0.13907848299828957,0.13907848299828957,0.0,0.13575461844054704,4,7
2,2,Drew Lachey,0.26467230163027,0.26467230163027,0.26467230163027,0.26467230163027,0.0,0.2583468452128613,12,1
2,2,Kenny Mayne,0.0,0.0,0.0,0.0,0.0,0.023899200650318385,1,10
2,3,Tatum O'Neal,0.0,0.0,0.0,0.0,0.0,0.02655466738924265,2,9
2,3,Tia Carrere,0.0682768313146916,0.0682691634518084,0.0682768313146916,0.0682768313146916,7.667862883198318e-06,0.06483200108386399,5,6
2,3,George Hamilton,0.076666523977152,0.076666523977152,0.076666523977152,0.0807488967309108,0.004082372753758806,0.07279840130063678,6,5
2,3,Lisa Rinna,0.11557943097323216,0.11531378608404266,0.11557943097323216,0.11557943097323216,0.00026564488918949525,0.10974800162579597,7,4
2,3,Stacy Keibler,0.11022529462699363,0.10995337778823017,0.11022529462699363,0.11022529462699363,0.0002719168387634585,0.10466400216772796,12,3
2,3,Jerry Rice,0.15217375793929563,0.1520341021695809,0.15217375793929563,0.15217375793929563,0.00013965576971472493,0.14449600325159193,12,2
2,3,Giselle Fernandez,0.05778971548661608,0.054575140780385084,0.05778971548661608,0.05778971548661608,0.003214574706230995,0.054874000812897984,3,8
2,3,Master P,0.14126929770581717,0.14108908506712603,0.14126929770581717,0.14126929770581717,0.00018021263869114068,0.13414171521474058,4,7
2,3,Drew Lachey,0.27801914787620174,0.27801644792791586,0.27801914787620174,0.27801914787620174,2.6999482858891533e-06,0.2639920065031839,12,1
2,3,Kenny Mayne,0.0,0.0,0.0,0.0,0.0,0.023899200650318385,1,10
2,4,Tatum O'Neal,0.0,0.0,0.0,0.0,0.0,0.02655466738924265,2,9
2,4,Tia Carrere,0.06705388524901261,0.06705388524901261,0.06705388524901261,0.0741280619612241,0.007074176712211486,0.06383200108386398,5,6
2,4,George Hamilton,0.11102131547366494,0.10761201503498175,0.11102131547366494,0.11102131547366494,0.003409300438683191,0.07179840130063678,6,5
2,4,Lisa Rinna,0.08846848036564563,0.08825300593968688,0.08846848036564563,0.08846848036564563,0.00021547442595874766,0.08374800162579597,7,4
