season,week,celebrity_name,s_share_mean,s_share_std,s_share_p10,s_share_p50,s_share_p90
34,1,Corey Feldman,0.04151137168421258,0.00841996075384185,0.034775403081139106,0.04151137168421258,0.04824734028728606
34,1,Danielle Fishel,0.046120993798925564,0.0034392985792272117,0.0433695549355438,0.046120993798925564,0.048872432662307334
34,1,Elaine Hendrix,0.08658154783443908,0.009838609309547781,0.07871066038680086,0.08658154783443908,0.09445243528207732
34,1,Baron Davis,0.027625916595762426,0.009848566064581142,0.01974706374409751,0.027625916595762426,0.03550476944742734
34,1,Jordan Chiles,0.06592943751316105,0.010734909682912588,0.05734150976683098,0.06592943751316105,0.07451736525949113
34,1,Andy Richter,0.05772116615952003,0.019385187668879193,0.042213016024416676,0.05772116615952003,0.07322931629462338
34,1,Robert Irwin,0.17170574192988058,0.01578435323063075,0.15907825934537598,0.17170574192988058,0.18433322451438516
34,1,Hilaria Baldwin,0.060605143712641904,0.007072092898467077,0.05494746939386824,0.060605143712641904,0.06626281803141557
34,1,Lauren Jauregui,0.0498791772863383,0.010929216833678194,0.041135803819395744,0.0498791772863383,0.05862255075328085
34,1,Scott Hoying,0.06569843616335304,0.03373270313370445,0.038712273656389476,0.06569843616335304,0.0926845986703166
34,1,Alix Earle,0.08758640267526982,0.008350545010874046,0.08090596666657059,0.08758640267526982,0.09426683868396907
34,1,Jen Affleck,0.06084888710595855,0.0003683746405519425,0.060554187393517,0.06084888710595855,0.061143586818400104
34,1,Whitney Leavitt,0.06368023164215321,0.02211185475544118,0.04599074783780027,0.06368023164215321,0.08136971544650616
34,1,Dylan Efron,0.11450554589838381,0.0012604217032383958,0.11349720853579309,0.11450554589838381,0.11551388326097453
34,2,Corey Feldman,0.03273591698331851,0.0053287853106667865,0.02847288873478508,0.03273591698331851,0.03699894523185194
34,2,Danielle Fishel,0.043405719701590836,0.0028177067059222682,0.041151554336853025,0.043405719701590836,0.04565988506632865
34,2,Elaine Hendrix,0.08870906528629843,0.009539876156691315,0.08107716436094538,0.08870906528629843,0.09634096621165149
34,2,Baron Davis,0.025095748578770973,0.009330509434639058,0.017631341031059726,0.025095748578770973,0.03256015612648222
34,2,Jordan Chiles,0.07037386512930699,0.010490176557413477,0.06198172388337621,0.07037386512930699,0.07876600637523777
34,2,Andy Richter,0.048421079970666456,0.017684850983592695,0.0342731991837923,0.048421079970666456,0.0625689607575406
34,2,Robert Irwin,0.18394074739978133,0.019477941196258022,0.16835839444277492,0.18394074739978133,0.19952310035678777
34,2,Hilaria Baldwin,0.06218263761461222,0.007634234765069015,0.05607524980255701,0.06218263761461222,0.06829002542666743
34,2,Lauren Jauregui,0.05120979348372978,0.011521075926409122,0.04199293274260248,0.05120979348372978,0.06042665422485708
34,2,Scott Hoying,0.058771362058422,0.02940576459732616,0.03524675038056107,0.058771362058422,0.08229597373628293
34,2,Alix Earle,0.08974874483880624,0.008007822196854752,0.08334248708132244,0.08974874483880624,0.09615500259629003
34,2,Jen Affleck,0.06509475754243149,0.0005239969885578594,0.06467555995158521,0.06509475754243149,0.06551395513327778
34,2,Whitney Leavitt,0.0677958509588484,0.022695950048766542,0.049639090919835156,0.0677958509588484,0.08595261099786163
34,2,Dylan Efron,0.11251471045341652,0.0010396798877484945,0.11168296654321773,0.11251471045341652,0.11334645436361532
34,3,Corey Feldman,0.02523666190437466,0.002918412117430479,0.022901932210430274,0.02523666190437466,0.02757139159831904
34,3,Danielle Fishel,0.04359053746794949,0.0028325502103486444,0.041324497299670575,0.04359053746794949,0.045856577636228406
34,3,Elaine Hendrix,0.08908577343421065,0.009574614395897942,0.0814260819174923,0.08908577343421065,0.096745464950929
34,3,Baron Davis,0.019847528514783754,0.008186555268589964,0.013298284299911783,0.019847528514783754,0.026396772729655724
34,3,Jordan Chiles,0.07324960172711883,0.010421022646767315,0.06491278360970498,0.07324960172711883,0.0815864198445327
34,3,Andy Richter,0.046986972432274246,0.017437776812626857,0.033036750982172756,0.046986972432274246,0.06093719388237573
34,3,Robert Irwin,0.18705137775592073,0.020243389839315326,0.17085666588446846,0.18705137775592073,0.20324608962737298
34,3,Hilaria Baldwin,0.06323672737375631,0.007910483504753218,0.05690834056995374,0.06323672737375631,0.06956511417755888
34,3,Lauren Jauregui,0.04949378575747092,0.010814417059807253,0.04084225210962512,0.04949378575747092,0.058145319405316725
34,3,Scott Hoying,0.05982082727756562,0.030036486735591863,0.035791637889092134,0.05982082727756562,0.08385001666603911
34,3,Alix Earle,0.09233280866582975,0.00781219769041043,0.08608305051350142,0.09233280866582975,0.0985825668181581
34,3,Jen Affleck,0.06378495447541799,0.00022516909265490187,0.06360481920129407,0.06378495447541799,0.06396508974954192
34,3,Whitney Leavitt,0.07047515495299357,0.023157383479326676,0.05194924816953223,0.07047515495299357,0.08900106173645492
34,3,Dylan Efron,0.11580728826033357,0.001608641733717532,0.11452037487335953,0.11580728826033357,0.11709420164730759
34,4,Corey Feldman,0.0,0.0,0.0,0.0,0.0
34,4,Danielle Fishel,0.04688973180877959,0.0024492398819440757,0.04493033990322433,0.04688973180877959,0.048849123714334856
34,4,Elaine Hendrix,0.09596067100612858,0.009412074440072249,0.08843101145407078,0.09596067100612858,0.10349033055818638
34,4,Baron Davis,0.0,0.0,0.0,0.0,0.0
34,4,Jordan Chiles,0.07956657621306434,0.01044968884897158,0.07120682513388708,0.07956657621306434,0.08792632729224162
34,4,Andy Richter,0.048204364998326935,0.017256156936898522,0.03439943944880812,0.048204364998326935,0.062009290547845757
34,4,Robert Irwin,0.1918189064661595,0.020746935247675166,0.17522135826801938,0.1918189064661595,0.20841645466429967
34,4,Hilaria Baldwin,0.06836441727309173,0.008106484597626668,0.06187922959499039,0.06836441727309173,0.07484960495119306
34,4,Lauren Jauregui,0.03843269097634355,0.005409978087645446,0.034104708506227197,0.03843269097634355,0.04276067344645992
34,4,Scott Hoying,0.06300713244554862,0.029414931993361877,0.039475186850859115,0.06300713244554862,0.08653907804023811
34,4,Alix Earle,0.09933834087375919,0.0075553435346267794,0.09329406604605776,0.09933834087375919,0.10538261570146061
34,4,Jen Affleck,0.06886740817357476,0.0002741721515510734,0.0686480704523339,0.06886740817357476,0.06908674589481563
