param,value,season,alpha,mean_sq_rank_diff,weekly_elim_match_rate,elim_week_mae,objective
judge_scale,0.3,34,0.29583333333333334,0.0,1.0,0.0,-0.05035902348921324
judge_scale,0.3,33,0.36666666666666664,0.46153846153846156,1.0,0.0,0.4116669537325318
judge_scale,0.3,32,0.8625,0.0,1.0,0.0,-0.05210347235852167
judge_scale,0.3,31,0.5083333333333333,0.25,1.0,0.0,0.1958452491767139
judge_scale,0.3,30,0.6499999999999999,0.13333333333333333,1.0,0.0,0.08120920560763675
judge_scale,0.3,29,0.29583333333333334,0.13333333333333333,1.0,0.0,0.08110862064131766
judge_scale,0.3,28,1.0041666666666667,0.0,1.0,0.0,-0.04875938016416192
judge_scale,0.3,27,0.012499999999999983,0.15384615384615385,1.0,0.0,0.1033753716876441
judge_scale,0.3,26,0.36666666666666664,0.4,1.0,0.0,0.3542887847990073
judge_scale,0.3,25,1.3583333333333334,0.3076923076923077,1.0,0.0,0.25660919451936537
judge_scale,0.3,24,-0.2,0.16666666666666666,1.0,0.0,0.11767224269635779
judge_scale,0.3,23,1.3583333333333334,0.15384615384615385,1.0,0.0,0.10309695053169377
judge_scale,0.3,22,1.075,0.16666666666666666,1.0,0.0,0.11740847535197976
judge_scale,0.3,21,-0.05833333333333335,0.6153846153846154,1.0,0.0,0.5653760716373164
judge_scale,0.3,20,0.5083333333333333,0.16666666666666666,1.0,0.0,0.11715874911067589
judge_scale,0.3,19,0.15416666666666662,0.0,1.0,0.0,-0.050504032541851006
judge_scale,0.3,18,0.08333333333333331,0.0,1.0,0.0,-0.04882368274751004
judge_scale,0.3,17,0.43749999999999994,0.0,1.0,0.0,-0.04927084529007538
judge_scale,0.3,16,0.36666666666666664,0.0,1.0,0.0,-0.049109081812987246
judge_scale,0.3,15,0.012499999999999983,0.0,1.0,0.0,-0.05055255749481969
judge_scale,0.3,14,-0.05833333333333335,0.16666666666666666,1.0,0.0,0.11767342582413867
judge_scale,0.3,13,0.29583333333333334,0.0,1.0,0.0,-0.04928010962250934
judge_scale,0.3,12,0.15416666666666662,0.0,1.0,0.0,-0.047411924080981147
judge_scale,0.3,11,0.7916666666666667,0.0,1.0,0.0,-0.049496129107548414
