season,celebrity_name,n_contestants,placement,mean_judge_score,judge_rank_in_season,judge_percentile,placement_percentile,controversy_score,weeks_lowest_judge_score,low_judge_high_place,high_judge_low_place,controversy_posterior,controversial
1,John O'Hurley,6,2,24.166666666666668,1,1.0,0.8,0.19999999999999996,1,False,False,0.002756215583864846,False
1,Kelly Monaco,6,1,21.333333333333332,3,0.6,1.0,0.4,1,False,False,0.9893051527578403,True
1,Evander Holyfield,6,5,15.0,6,0.0,0.19999999999999996,0.19999999999999996,2,False,False,0.002756215583864846,False
1,Rachel Hunter,6,4,23.75,2,0.8,0.4,0.4,0,False,True,0.9893051527578403,True
1,Joey McIntyre,6,3,21.1,4,0.4,0.6,0.19999999999999996,2,True,False,0.002756215583864846,False
1,Trista Sutter,6,6,18.5,5,0.2,0.0,0.2,0,False,False,0.0027562155838648556,False
2,Tatum O'Neal,10,9,20.0,8,0.2222222222222222,0.11111111111111116,0.11111111111111105,0,False,False,1.452977521984765e-05,False
2,Tia Carrere,10,6,23.0,4,0.6666666666666666,0.4444444444444444,0.2222222222222222,1,False,True,0.00957956121353664,False
2,George Hamilton,10,5,21.666666666666668,7,0.3333333333333333,0.5555555555555556,0.22222222222222227,1,True,False,0.009579561213536671,False
2,Lisa Rinna,10,4,24.071428571428573,3,0.7777777777777778,0.6666666666666667,0.11111111111111105,0,False,False,1.452977521984765e-05,False
2,Stacy Keibler,10,3,27.520812499999998,1,1.0,0.7777777777777778,0.2222222222222222,0,False,False,0.00957956121353664,False
2,Jerry Rice,10,2,22.520825000000002,6,0.4444444444444444,0.8888888888888888,0.4444444444444444,2,True,False,0.9986155567503293,True
2,Giselle Fernandez,10,8,23.0,5,0.5555555555555556,0.2222222222222222,0.33333333333333337,0,False,True,0.7804501448401124,False
2,Master P,10,7,12.5,10,0.0,0.33333333333333337,0.33333333333333337,4,False,False,0.7804501448401124,False
2,Drew Lachey,10,1,27.437475,2,0.8888888888888888,1.0,0.11111111111111116,0,False,False,1.4529775219847762e-05,False
2,Kenny Mayne,10,10,13.0,9,0.1111111111111111,0.0,0.1111111111111111,0,False,False,1.4529775219847702e-05,False
3,Harry Hamlin,11,9,20.0,9,0.2,0.19999999999999996,5.551115123125783e-17,0,False,False,1.205117948354354e-08,False
3,Vivica A. Fox,11,8,24.25,6,0.5,0.30000000000000004,0.19999999999999996,0,False,True,0.002756215583864846,False
3,Monique Coleman,11,4,24.9375,4,0.7,0.7,0.0,1,False,False,1.2051179483543547e-08,False
3,Joey Lawrence,11,3,25.88888888888889,2,0.9,0.8,0.09999999999999998,1,False,False,7.340866405335574e-06,False
3,Mario Lopez,11,2,26.866660000000003,1,1.0,0.9,0.09999999999999998,1,False,False,7.340866405335574e-06,False
3,Emmitt Smith,11,1,25.76666,3,0.8,1.0,0.19999999999999996,1,False,False,0.002756215583864846,False
3,Shanna Moakler,11,10,20.0,10,0.1,0.09999999999999998,2.7755575615628914e-17,0,False,False,1.2051179483543545e-08,False
3,Willa Ford,11,7,24.4,5,0.6,0.4,0.19999999999999996,0,False,True,0.002756215583864846,False
3,Sara Evans,11,6,21.0,7,0.4,0.5,0.09999999999999998,2,True,False,7.340866405335574e-06,False
3,Jerry Springer,11,5,20.428571428571427,8,0.3,0.6,0.3,3,True,False,0.39141354670700745,False
3,Tucker Carlson,11,11,12.0,11,0.0,0.0,0.0,1,False,False,1.2051179483543547e-08,False
4,John Ratzenberger,11,6,19.071428571428573,8,0.3,0.5,0.2,1,True,False,0.0027562155838648556,False
4,Ian Ziering,11,4,24.27777777777778,4,0.7,0.7,0.0,1,False,False,1.2051179483543547e-08,False
4,Clyde Drexler,11,8,15.6,11,0.0,0.30000000000000004,0.30000000000000004,4,False,False,0.3914135467070083,False
4,Laila Ali,11,3,26.233320000000003,3,0.8,0.8,0.0,1,False,False,1.2051179483543547e-08,False
4,Apolo Anton Ohno,11,1,26.883319999999998,1,1.0,1.0,0.0,0,False,False,1.2051179483543547e-08,False
4,Shandi Finnessey,11,10,20.0,6,0.5,0.09999999999999998,0.4,0,False,True,0.9893051527578403,True
4,Paulina Porizkova,11,11,20.0,7,0.4,0.0,0.4,0,False,False,0.9893051527578403,True
4,Heather Mills,11,7,22.166666666666668,5,0.6,0.4,0.19999999999999996,0,False,True,0.002756215583864846,False
4,Billy Ray Cyrus,11,5,19.0,9,0.2,0.6,0.39999999999999997,3,True,False,0.9893051527578403,True
4,Joey Fatone,11,2,26.76665,2,0.9,0.9,0.0,0,False,False,1.2051179483543547e-08,False
4,Leeza Gibbons,11,9,19.0,10,0.1,0.19999999999999996,0.09999999999999995,0,False,False,7.340866405335548e-06,False
5,Cameron Mathison,12,5,24.25,6,0.5454545454545454,0.6363636363636364,0.09090909090909094,0,False,False,4.18048758353031e-06,False
5,Jane Seymour,12,6,24.428571428571427,5,0.6363636363636364,0.5454545454545454,0.09090909090909094,2,False,False,4.18048758353031e-06,False
5,Sabrina Bryan,12,7,27.0,2,0.9090909090909091,0.4545454545454546,0.4545454545454545,0,False,True,0.999119902026159,True
5,Jennie Garth,12,4,25.27777777777778,4,0.7272727272727273,0.7272727272727273,0.0,0,False,False,1.2051179483543547e-08,False
5,Floyd Mayweather Jr. ,12,9,20.75,9,0.2727272727272727,0.2727272727272727,0.0,0,False,False,1.2051179483543547e-08,False
5,Josie Maran,12,12,16.0,12,0.0,0.0,0.0,1,False,False,1.2051179483543547e-08,False
5,Albert Reed,12,11,21.0,8,0.36363636363636365,0.09090909090909094,0.2727272727272727,0,False,False,0.13239392118977436,False
5,Helio Castroneves,12,1,26.649990000000003,3,0.8181818181818182,1.0,0.18181818181818177,0,False,False,0.0009734442535994089,False
5,Mel B,12,2,27.23332,1,1.0,0.9090909090909091,0.09090909090909094,0,False,False,4.18048758353031e-06,False
5,Wayne Newton,12,10,17.333333333333332,11,0.09090909090909091,0.18181818181818177,0.09090909090909086,2,False,False,4.1804875835302956e-06,False
5,Marie Osmond,12,3,24.25,7,0.45454545454545453,0.8181818181818181,0.3636363636363636,4,True,False,0.9413728607697187,True
5,Mark Cuban,12,8,20.4,10,0.18181818181818182,0.36363636363636365,0.18181818181818182,1,False,False,0.0009734442535994126,False
6,Cristian de la Fuente,12,3,24.75,4,0.7272727272727273,0.8181818181818181,0.09090909090909083,2,False,False,4.180487583530281e-06,False
6,Steve Guttenberg,12,10,18.333333333333332,10,0.18181818181818182,0.18181818181818177,5.551115123125783e-17,0,False,False,1.205117948354354e-08,False
6,Priscilla Presley,12,8,22.8,7,0.45454545454545453,0.36363636363636365,0.09090909090909088,1,False,False,4.1804875835302956e-06,False
6,Marlee Matlin,12,7,22.333333333333332,8,0.36363636363636365,0.4545454545454546,0.09090909090909094,1,False,False,4.18048758353031e-06,False
6,Shannon Elizabeth,12,6,24.214285714285715,5,0.6363636363636364,0.5454545454545454,0.09090909090909094,0,False,False,4.18048758353031e-06,False
6,Marissa Jaret Winokur,12,4,23.22222222222222,6,0.5454545454545454,0.7272727272727273,0.18181818181818188,3,False,False,0.0009734442535994157,False
6,Jason Taylor,12,2,26.15,2,0.9090909090909091,0.9090909090909091,0.0,0,False,False,1.2051179483543547e-08,False
6,Kristi Yamaguchi,12,1,28.2,1,1.0,1.0,0.0,0,False,False,1.2051179483543547e-08,False
6,Monica Seles,12,11,15.0,12,0.0,0.09090909090909094,0.09090909090909094,2,False,False,4.18048758353031e-06,False
6,Penn Jillette,12,12,16.5,11,0.09090909090909091,0.0,0.09090909090909091,0,False,False,4.1804875835302956e-06,False
6,Adam Carolla,12,9,18.5,9,0.2727272727272727,0.2727272727272727,0.0,1,False,False,1.2051179483543547e-08,False
6,Mario,12,5,25.25,3,0.8181818181818182,0.6363636363636364,0.18181818181818188,0,False,False,0.0009734442535994157,False
7,Ted McGinley,13,12,18.5,9,0.3333333333333333,0.08333333333333337,0.24999999999999994,0,False,False,0.04285584018046338,False
7,Cloris Leachman,13,7,17.5,12,0.08333333333333333,0.5,0.4166666666666667,4,True,False,0.9950753491195392,True
7,Susan Lucci,13,6,21.928571428571427,7,0.5,0.5833333333333333,0.08333333333333326,0,False,False,2.60699562555908e-06,False
7,Cody Linley,13,4,22.833333333333332,4,0.75,0.75,0.0,2,False,False,1.2051179483543547e-08,False
7,Misty May-Treanor,13,10,21.0,8,0.4166666666666667,0.25,0.16666666666666669,0,False,False,0.00040361485771124345,False
7,Maurice Greene,13,5,22.4375,5,0.6666666666666666,0.6666666666666667,1.1102230246251565e-16,0,False,False,1.2051179483543613e-08,False
7,Warren Sapp,13,2,24.25,3,0.8333333333333334,0.9166666666666666,0.08333333333333326,2,False,False,2.60699562555908e-06,False
7,Jeffrey Ross,13,13,12.0,13,0.0,0.0,0.0,1,False,False,1.2051179483543547e-08,False
7,Toni Braxton,13,8,22.3,6,0.5833333333333334,0.41666666666666663,0.16666666666666674,0,False,True,0.0004036148577112447,False
7,Lance Bass,13,3,24.35,2,0.9166666666666666,0.8333333333333334,0.08333333333333326,0,False,False,2.60699562555908e-06,False
7,Kim Kardashian,13,11,17.75,11,0.16666666666666666,0.16666666666666663,2.7755575615628914e-17,0,False,False,1.2051179483543545e-08,False
7,Rocco DiSpirito,13,9,17.875,10,0.25,0.33333333333333337,0.08333333333333337,1,False,False,2.6069956255591026e-06,False
7,Brooke Burke,13,1,26.95,1,1.0,1.0,0.0,0,False,False,1.2051179483543547e-08,False
8,Gilles Marini,13,2,27.681818181818183,1,1.0,0.9166666666666666,0.08333333333333337,0,False,False,2.6069956255591026e-06,False
8,Denise Richards,13,12,18.333333333333332,9,0.3333333333333333,0.08333333333333337,0.24999999999999994,0,False,False,0.04285584018046338,False
8,David Alan Grier,13,9,20.8,7,0.5,0.33333333333333337,0.16666666666666663,0,False,True,0.0004036148577112417,False
8,Lawrence Taylor,13,7,19.714285714285715,8,0.4166666666666667,0.5,0.08333333333333331,1,True,False,2.606995625559094e-06,False
8,Ty Murray,13,4,21.8,6,0.5833333333333334,0.75,0.16666666666666663,2,False,False,0.0004036148577112417,False
8,Shawn Johnson,13,1,26.454545454545453,3,0.8333333333333334,1.0,0.16666666666666663,0,False,False,0.0004036148577112417,False
8,Steve Wozniak,13,10,13.0,13,0.0,0.25,0.25,3,False,False,0.04285584018046352,False
8,Belinda Carlisle,13,13,17.5,10,0.25,0.0,0.25,0,False,False,0.04285584018046352,False
