season,n_contestants,disp_fans_to_combined_rank,disp_judges_to_combined_rank,fan_advantage_rank,fan_dominates_rank,disp_fans_to_combined_percent,disp_judges_to_combined_percent,fan_advantage_percent,fan_dominates_percent,rank_favors_fans_more,rank_favor_magnitude
1,6,0.0,0.0,0.0,False,0.0,0.0,0.0,False,False,0.0
2,10,1.0,0.0,-1.0,False,0.8,0.2,-0.6000000000000001,False,False,-0.3999999999999999
3,11,0.5454545454545454,0.5454545454545454,0.0,False,0.5454545454545454,0.18181818181818182,-0.3636363636363636,False,True,0.3636363636363636
4,11,0.9090909090909091,0.36363636363636365,-0.5454545454545454,False,0.7272727272727273,0.0,-0.7272727272727273,False,True,0.18181818181818188
5,12,1.1666666666666667,0.6666666666666666,-0.5000000000000001,False,1.0,0.16666666666666666,-0.8333333333333334,False,True,0.33333333333333326
6,12,0.6666666666666666,0.16666666666666666,-0.5,False,0.6666666666666666,0.0,-0.6666666666666666,False,True,0.16666666666666663
7,13,1.5384615384615385,0.15384615384615385,-1.3846153846153846,False,1.6923076923076923,0.0,-1.6923076923076923,False,True,0.3076923076923077
8,13,0.7692307692307693,0.6153846153846154,-0.15384615384615385,False,0.9230769230769231,0.0,-0.9230769230769231,False,True,0.7692307692307693
9,16,1.5,1.25,-0.25,False,2.0,0.0,-2.0,False,True,1.75
10,11,0.36363636363636365,0.18181818181818182,-0.18181818181818182,False,0.36363636363636365,0.18181818181818182,-0.18181818181818182,False,False,0.0
11,12,0.3333333333333333,0.6666666666666666,0.3333333333333333,True,0.6666666666666666,0.0,-0.6666666666666666,False,True,1.0
12,11,1.2727272727272727,0.7272727272727273,-0.5454545454545454,False,1.2727272727272727,0.36363636363636365,-0.9090909090909091,False,True,0.36363636363636365
13,12,0.8333333333333334,0.6666666666666666,-0.16666666666666674,False,0.8333333333333334,0.16666666666666666,-0.6666666666666667,False,True,0.5
14,12,0.5,0.8333333333333334,0.33333333333333337,True,1.0,0.3333333333333333,-0.6666666666666667,False,True,1.0
15,13,1.3846153846153846,0.0,-1.3846153846153846,False,1.2307692307692308,0.15384615384615385,-1.076923076923077,False,False,-0.3076923076923075
16,12,1.3333333333333333,1.1666666666666667,-0.16666666666666652,False,1.6666666666666667,0.3333333333333333,-1.3333333333333335,False,True,1.166666666666667
17,12,1.1666666666666667,1.0,-0.16666666666666674,False,1.0,0.0,-1.0,False,True,0.8333333333333333
18,12,1.8333333333333333,1.3333333333333333,-0.5,False,2.5,0.16666666666666666,-2.3333333333333335,False,True,1.8333333333333335
19,13,0.3076923076923077,0.7692307692307693,0.46153846153846156,True,0.9230769230769231,0.0,-0.9230769230769231,False,True,1.3846153846153846
20,12,0.6666666666666666,1.8333333333333333,1.1666666666666665,True,2.0,0.16666666666666666,-1.8333333333333333,False,True,3.0
21,13,2.3076923076923075,1.6923076923076923,-0.6153846153846152,False,2.3076923076923075,0.46153846153846156,-1.8461538461538458,False,True,1.2307692307692306
22,12,1.1666666666666667,0.5,-0.6666666666666667,False,1.1666666666666667,0.16666666666666666,-1.0,False,True,0.33333333333333326
23,13,1.3846153846153846,0.9230769230769231,-0.46153846153846145,False,1.5384615384615385,0.0,-1.5384615384615385,False,True,1.076923076923077
24,12,0.8333333333333334,1.6666666666666667,0.8333333333333334,True,1.8333333333333333,0.16666666666666666,-1.6666666666666665,False,True,2.5
25,13,0.3076923076923077,0.3076923076923077,0.0,False,0.6153846153846154,0.0,-0.6153846153846154,False,True,0.6153846153846154
26,10,0.0,0.8,0.8,True,0.8,0.0,-0.8,False,True,1.6
27,13,1.2307692307692308,2.0,0.7692307692307692,True,1.3846153846153846,0.46153846153846156,-0.923076923076923,False,True,1.692307692307692
28,12,0.8333333333333334,0.8333333333333334,0.0,False,0.8333333333333334,0.6666666666666666,-0.16666666666666674,False,True,0.16666666666666674
29,15,0.9333333333333333,1.0666666666666667,0.1333333333333333,True,1.3333333333333333,0.5333333333333333,-0.7999999999999999,False,True,0.9333333333333332
30,15,1.0666666666666667,1.2,0.1333333333333333,True,1.7333333333333334,0.13333333333333333,-1.6,False,True,1.7333333333333334
31,16,1.5,1.125,-0.375,False,1.125,0.0,-1.125,False,True,0.75
32,14,0.5714285714285714,0.8571428571428571,0.2857142857142857,True,0.7142857142857143,0.2857142857142857,-0.4285714285714286,False,True,0.7142857142857143
33,13,1.3846153846153846,0.6153846153846154,-0.7692307692307692,False,1.2307692307692308,0.6153846153846154,-0.6153846153846154,False,False,-0.15384615384615374
34,14,0.8571428571428571,0.5714285714285714,-0.2857142857142857,False,0.8571428571428571,0.42857142857142855,-0.42857142857142855,False,True,0.14285714285714285
