season,fan_adv_rank_no,fan_adv_rank_js,fan_adv_pct_no,fan_adv_pct_js,judge_save_decreases_rank,judge_save_decreases_pct
1,0.0,0.0,0.0,0.0,False,False
2,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,-0.6000000000000001,False,False
3,0.0,-0.7272727272727273,-0.3636363636363636,-0.3636363636363636,True,False
4,-0.5454545454545454,-0.7272727272727273,-0.7272727272727273,-0.7272727272727273,True,False
5,-0.5000000000000001,-0.5,-0.8333333333333334,-0.8333333333333334,False,False
6,-0.5,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,True,False
7,-1.3846153846153846,-1.3846153846153846,-1.6923076923076923,-1.6923076923076923,False,False
8,-0.15384615384615385,-0.6153846153846153,-0.9230769230769231,-0.9230769230769231,True,False
9,-0.25,-0.125,-2.0,-2.0,False,False
10,-0.18181818181818182,-0.18181818181818182,-0.18181818181818182,-0.18181818181818182,False,False
11,0.3333333333333333,-0.33333333333333337,-0.6666666666666666,-0.6666666666666666,True,False
12,-0.5454545454545454,-1.2727272727272727,-0.9090909090909091,-0.9090909090909091,True,False
13,-0.16666666666666674,0.0,-0.6666666666666667,-0.6666666666666667,False,False
14,0.33333333333333337,-0.6666666666666666,-0.6666666666666667,-0.6666666666666667,True,False
15,-1.3846153846153846,-1.3846153846153846,-0.9230769230769231,-0.9230769230769231,False,False
16,-0.16666666666666652,-0.8333333333333334,-1.3333333333333335,-1.3333333333333335,True,False
17,-0.16666666666666674,-0.6666666666666666,-1.0,-1.0,True,False
18,-0.5,-0.8333333333333333,-2.3333333333333335,-2.3333333333333335,True,False
19,0.46153846153846156,-0.9230769230769231,-0.9230769230769231,-0.9230769230769231,True,False
20,1.1666666666666665,-1.0,-1.8333333333333333,-1.8333333333333333,True,False
21,-0.6153846153846152,-1.0769230769230769,-1.8461538461538458,-1.8461538461538458,True,False
22,-0.5000000000000001,-0.6666666666666667,-0.8333333333333335,-0.8333333333333335,True,False
23,-0.46153846153846145,-0.6153846153846154,-1.5384615384615385,-1.5384615384615385,True,False
24,0.8333333333333334,0.6666666666666665,-1.6666666666666665,-1.6666666666666665,True,False
25,0.0,-0.6153846153846154,-0.6153846153846154,-0.6153846153846154,True,False
26,0.8,0.8,-0.7999999999999999,-0.7999999999999999,False,False
27,0.15384615384615374,-0.15384615384615397,-0.923076923076923,-0.923076923076923,True,False
28,0.0,-0.8333333333333335,-0.16666666666666674,-0.16666666666666674,True,False
29,0.1333333333333333,-1.0666666666666664,-0.7999999999999999,-0.7999999999999999,True,False
30,0.3999999999999999,-1.3333333333333335,-1.3333333333333335,-1.3333333333333335,True,False
31,-0.25,-1.0,-1.0,-1.0,True,False
32,0.2857142857142857,-0.7142857142857142,-0.4285714285714286,-0.4285714285714286,True,False
33,-0.7692307692307692,-1.2307692307692308,-0.6153846153846154,-0.6153846153846154,True,False
34,-0.2857142857142857,-0.7142857142857143,-0.42857142857142855,-0.42857142857142855,True,False
