season,week,celebrity_name,s_share
34,1,Corey Feldman,0.052088988096025066
34,1,Danielle Fishel,0.07916224416101897
34,1,Elaine Hendrix,0.054871868160005534
34,1,Baron Davis,0.03318459329241844
34,1,Jordan Chiles,0.0711000261464909
34,1,Andy Richter,0.10330107920393702
34,1,Robert Irwin,0.12381673487241125
34,1,Hilaria Baldwin,0.06794721850369298
34,1,Lauren Jauregui,0.05219581476794172
34,1,Scott Hoying,0.05963794157955762
34,1,Alix Earle,0.08856384244031752
34,1,Jen Affleck,0.048789113641573366
34,1,Whitney Leavitt,0.06515693335371849
34,1,Dylan Efron,0.10018360178089127
34,2,Corey Feldman,0.0474566840008813
34,2,Danielle Fishel,0.07771524670130801
34,2,Elaine Hendrix,0.05591858986906001
34,2,Baron Davis,0.031975361694765905
34,2,Jordan Chiles,0.07382192931227266
34,2,Andy Richter,0.09588827215582492
34,2,Robert Irwin,0.1285567776106742
34,2,Hilaria Baldwin,0.06924336224843104
34,2,Lauren Jauregui,0.05319148876759629
34,2,Scott Hoying,0.05746476191327454
34,2,Alix Earle,0.09025326362512653
34,2,Jen Affleck,0.05065689414847602
34,2,Whitney Leavitt,0.06765131869758198
34,2,Dylan Efron,0.1002060492547267
34,3,Corey Feldman,0.04261634362695449
34,3,Danielle Fishel,0.07815992911208754
34,3,Elaine Hendrix,0.056238552996063076
34,3,Baron Davis,0.028714037448444474
34,3,Jordan Chiles,0.07545565009536745
34,3,Andy Richter,0.09488880398829189
34,3,Robert Irwin,0.12999172906128573
34,3,Hilaria Baldwin,0.07001625703430156
34,3,Lauren Jauregui,0.05263706017469695
34,3,Scott Hoying,0.05810618389816764
34,3,Alix Earle,0.0917543099841472
34,3,Jen Affleck,0.05040003689997796
34,3,Whitney Leavitt,0.06914848039993314
34,3,Dylan Efron,0.10187262528028083
34,4,Corey Feldman,0.0
34,4,Danielle Fishel,0.0839938100253932
34,4,Elaine Hendrix,0.06330980971814985
34,4,Baron Davis,0.0
34,4,Jordan Chiles,0.08287521544447433
34,4,Andy Richter,0.09877830478192035
34,4,Robert Irwin,0.1366326821393889
34,4,Hilaria Baldwin,0.07684193038769083
34,4,Lauren Jauregui,0.05112001298011023
34,4,Scott Hoying,0.06396636886212906
34,4,Alix Earle,0.0994692874768673
34,4,Jen Affleck,0.05699807593792902
34,4,Whitney Leavitt,0.07694652981536959
34,4,Dylan Efron,0.1090679724305772
34,5,Corey Feldman,0.0
34,5,Danielle Fishel,0.08852621287762587
34,5,Elaine Hendrix,0.06816467131485503
34,5,Baron Davis,0.0
34,5,Jordan Chiles,0.08855637743983147
34,5,Andy Richter,0.10107083752406237
34,5,Robert Irwin,0.14482518293247712
34,5,Hilaria Baldwin,0.07174491967886142
34,5,Lauren Jauregui,0.0
34,5,Scott Hoying,0.06882323604218768
34,5,Alix Earle,0.10672922380991387
34,5,Jen Affleck,0.06156546288916971
34,5,Whitney Leavitt,0.0829172986880363
34,5,Dylan Efron,0.11707657680297923
34,6,Corey Feldman,0.0
34,6,Danielle Fishel,0.09756912650273561
34,6,Elaine Hendrix,0.07681005447985215
34,6,Baron Davis,0.0
34,6,Jordan Chiles,0.10073812913314567
34,6,Andy Richter,0.10036277363056555
34,6,Robert Irwin,0.1549672547623219
34,6,Hilaria Baldwin,0.0
34,6,Lauren Jauregui,0.0
34,6,Scott Hoying,0.07121076146471673
34,6,Alix Earle,0.11490889277879705
34,6,Jen Affleck,0.06718624870022756
34,6,Whitney Leavitt,0.09480409503312189
34,6,Dylan Efron,0.12144266351451577
34,7,Corey Feldman,0.0
34,7,Danielle Fishel,0.09757715964846261
34,7,Elaine Hendrix,0.07601073013231904
34,7,Baron Davis,0.0
34,7,Jordan Chiles,0.10181424859503897
34,7,Andy Richter,0.09827669929830181
34,7,Robert Irwin,0.15828273398633974
34,7,Hilaria Baldwin,0.0
34,7,Lauren Jauregui,0.0
34,7,Scott Hoying,0.0629739018910725
34,7,Alix Earle,0.11819520537279467
34,7,Jen Affleck,0.06695605237451116
34,7,Whitney Leavitt,0.0971733127429911
34,7,Dylan Efron,0.12273995595816839
34,8,Corey Feldman,0.0
34,8,Danielle Fishel,0.1052634655097777
34,8,Elaine Hendrix,0.08370084997507751
34,8,Baron Davis,0.0
34,8,Jordan Chiles,0.11029576159255909
34,8,Andy Richter,0.10486378119156617
34,8,Robert Irwin,0.1669508427775499
34,8,Hilaria Baldwin,0.0
34,8,Lauren Jauregui,0.0
34,8,Scott Hoying,0.0
34,8,Alix Earle,0.12667891245372598
34,8,Jen Affleck,0.06542171002572943
34,8,Whitney Leavitt,0.10577595554519094
34,8,Dylan Efron,0.13104872092882336
34,9,Corey Feldman,0.0
