season,judge_scale,alpha_penalty,alpha,mean_sq_rank_diff,weekly_elim_match_rate,elim_week_mae,objective
34,0.3,0.0,0.29583333333333334,0.0,1.0,0.0,-0.05035902348921324
34,0.3,0.2,0.08333333333333331,0.14285714285714285,1.0,0.0,0.09516270760835244
34,0.3,0.5,0.08333333333333331,0.14285714285714285,1.0,0.0,0.09724604094168578
34,0.5,0.0,0.15416666666666662,0.0,1.0,0.0,-0.050779514129717616
34,0.5,0.2,0.15416666666666662,0.0,1.0,0.0,-0.046026041907495395
34,0.5,0.5,0.15416666666666662,0.0,1.0,0.0,-0.03889583357416207
34,0.7,0.0,0.29583333333333334,0.14285714285714285,1.0,0.0,0.09093379918794525
34,0.7,0.2,0.15416666666666662,0.14285714285714285,1.0,0.0,0.09683110094964745
34,0.7,0.5,0.15416666666666662,0.14285714285714285,1.0,0.0,0.10396130928298078
33,0.3,0.0,0.36666666666666664,0.46153846153846156,1.0,0.0,0.4116669537325318
33,0.3,0.2,0.43749999999999994,0.15384615384615385,1.0,0.0,0.14597966193548778
33,0.3,0.5,0.43749999999999994,0.15384615384615385,1.0,0.0,0.20340153693548776
33,0.5,0.0,0.15416666666666662,0.46153846153846156,1.0,0.0,0.41270746302406214
33,0.5,0.2,0.15416666666666662,0.46153846153846156,1.0,0.0,0.41746093524628436
33,0.5,0.5,0.15416666666666662,0.46153846153846156,1.0,0.0,0.4245911435796177
33,0.7,0.0,0.08333333333333331,0.6153846153846154,1.0,0.0,0.5665494856407588
33,0.7,0.2,0.08333333333333331,0.6153846153846154,1.0,0.0,0.5679383745296477
33,0.7,0.5,0.08333333333333331,0.6153846153846154,1.0,0.0,0.570021707862981
32,0.3,0.0,0.8625,0.0,1.0,0.0,-0.05210347235852167
32,0.3,0.2,0.08333333333333331,0.0,1.0,0.0,-0.04987128090235612
32,0.3,0.5,0.08333333333333331,0.0,1.0,0.0,-0.047787947569022785
32,0.5,0.0,0.8625,0.0,1.0,0.0,-0.05210347235852167
32,0.5,0.2,0.08333333333333331,0.0,1.0,0.0,-0.05020337350518858
32,0.5,0.5,0.08333333333333331,0.0,1.0,0.0,-0.04812004017185525
32,0.7,0.0,0.5791666666666666,0.0,1.0,0.0,-0.052063915499982766
32,0.7,0.2,0.08333333333333331,0.0,1.0,0.0,-0.05020337350518858
32,0.7,0.5,0.08333333333333331,0.0,1.0,0.0,-0.04812004017185525
31,0.3,0.0,0.5083333333333333,0.25,1.0,0.0,0.1958452491767139
31,0.3,0.2,0.5083333333333333,0.25,1.0,0.0,0.24752580473226946
31,0.3,0.5,0.5083333333333333,0.25,1.0,0.0,0.32504663806560274
31,0.5,0.0,0.36666666666666664,0.25,1.0,0.0,0.19578804148020582
31,0.5,0.2,0.08333333333333331,0.375,1.0,0.0,0.3223476069316088
31,0.5,0.5,0.08333333333333331,0.375,1.0,0.0,0.3244309402649421
31,0.7,0.0,0.36666666666666664,0.25,1.0,0.0,0.19578804148020582
31,0.7,0.2,0.15416666666666662,0.375,1.0,0.0,0.3261675101899336
31,0.7,0.5,0.15416666666666662,0.375,1.0,0.0,0.33329771852326695
30,0.3,0.0,0.6499999999999999,0.13333333333333333,1.0,0.0,0.08120920560763675
30,0.3,0.2,0.29583333333333334,0.13333333333333333,1.0,0.0,0.099658938136452
30,0.3,0.5,0.29583333333333334,0.13333333333333333,1.0,0.0,0.12591414646978533
