season,celebrity_name,s0
34,Corey Feldman,0.03715934963518688
34,Danielle Fishel,0.04273258108291312
34,Elaine Hendrix,0.09653511094097922
34,Baron Davis,0.04050201972608239
34,Jordan Chiles,0.08285800582134403
34,Andy Richter,0.08658506483850965
34,Robert Irwin,0.1391835164400249
34,Hilaria Baldwin,0.049649615508089724
34,Lauren Jauregui,0.03753295008746444
34,Scott Hoying,0.03454822209181741
34,Alix Earle,0.09244673491836132
34,Jen Affleck,0.061290246036182695
34,Whitney Leavitt,0.07658246483794347
34,Dylan Efron,0.12239411803510081
33,Tori Spelling,0.06265212040655627
33,Eric Roberts,0.06804886277153903
33,Reginald VelJohnson,0.07120741808285352
33,Chandler Kinney,0.05083317670505671
33,Dwight Howard ,0.06207337821547503
33,Danny Amendola,0.07756923968375191
33,Stephen Nedoroscik,0.03769104365876703
33,Ilona Maher,0.12485616001015122
33,Anna Delvey,0.04266071856066232
33,Brooks Nader,0.06680953059231994
33,Phaedra Parks,0.06376166980431408
33,Jenn Tran,0.062362361910211245
33,Joey Graziadei,0.20947431959834167
32,Jamie Lynn Spears,0.0506990992576154
32,Mira Sorvino,0.051671037323202544
32,Barry Williams,0.06466708867571358
32,Alyson Hannigan,0.07121065326362468
32,Xochitl Gomez,0.12019965872060297
32,Adrian Peterson,0.048485131117190064
32,Matt Walsh,0.06476767104183795
32,Tyson Beckford,0.06428890319081912
32,Jason Mraz,0.07577339867419762
32,Lele Pons,0.07451748084322403
32,Harry Jowsey,0.0761058099146051
32,Mauricio Umansky,0.0587769512188882
32,Charity Lawson,0.07361110212386243
32,Ariana Madix,0.1052260146346162
31,Jason Lewis,0.046973842066684035
31,Cheryl Ladd,0.046686758206002675
31,Selma Blair,0.044684503976012487
31,Joseph Baena,0.05701871509584826
31,Trevor Donovan,0.0375658328681628
31,Daniel Durant,0.11230571531433577
31,Wayne Brady,0.05588951510568056
31,Sam Champion,0.061242493533336474
31,Jessie James Decker,0.07075791787999836
31,Jordin Sparks,0.09149501546605031
31,Heidi D'Amelio,0.06340998931849871
31,Charli D'Amelio,0.07185012634285376
31,Teresa Giudice,0.03616278247942844
31,Vinny Guadagnino,0.09800937146419601
31,Shangela,0.0318319637780931
31,Gabby Windey,0.07411545598176095
30,Martin Kove,0.07470562551853309
30,Brian Austin Green,0.05258553768234146
30,Melora Hardin,0.052130283794513975
30,Matt James,0.04992030836056545
30,"Mike ""The Miz"" Mizanin",0.07177286675623054
30,Suni Lee,0.10364756212219065
30,Iman Shumpert,0.1711314958865313
30,Cody Rigsby,0.13330705903974466
30,Melanie C,0.02985008312053807
30,Jimmie Allen,0.034177489636020374
30,Olivia Jade,0.057453723744641604
30,JoJo Siwa,0.061188517559841754
30,Christine Chiu,0.026049315266649414
30,Kenya Moore,0.03624290199045772
30,Amanda Kloots,0.04583722780988485
29,Anne Heche,0.034525399461005565
29,Jesse Metcalfe,0.032413944770376554
29,Chrishell Stause,0.05235568298677565
29,Skai Jackson,0.08638551736473514
29,Justina Machado,0.04090655814698264
29,Charles Oakley,0.05381300226591855
29,Veron Davis,0.0706668013232345
29,Johnny Weir,0.07917122783685401
29,Nev Schulman,0.0878289981225621
29,AJ McLean,0.04423822485104621
29,Nelly,0.13879343994555515
29,Kaitlyn Bristowe,0.1529170662488419
29,Carole Baskin,0.03805999102819208
29,Monica Aldama,0.025284516200024077
29,Jeannie Mai,0.06263962944789614
28,Kate Flannery,0.10681753816570783
28,James Van Der Beek,0.03780117216949809
28,Kel Mitchell,0.08523208352782395
28,Ray Lewis,0.06071811688301133
28,Lamar Odom,0.08962479758716889
28,Sailor Brinkley-Cook,0.10779375313254747
28,Sean Spicer,0.08157414147608087
28,Mary Wilson,0.07580529715475283
28,Lauren Alaina,0.11073395396316885
28,Ally Brooke,0.06256004615915815
28,Karamo Brown,0.07457286186867366
28,Hannah Brown,0.10676623680506854
27,Juan Pablo Di Pace,0.08270932098240005
27,Evanna Lynch,0.04842183979380587
27,Nancy McKeon,0.06125605885201674
27,John Schneider,0.11610105520940428
27,Milo Manheim,0.06135130628891813
27,Danelle Umstead,0.08157609957942571
27,Mary Lou Retton,0.07808898806470681
27,DeMarcus Ware,0.05110522766672606
27,Nikki Glaser,0.09507522384885513
27,Bobby Bones,0.11526598426395276
27,Tinashe,0.08923847445194101
27,Alexis Ren,0.04715491540380213
27,Joe Amabile,0.07265550559404525
26,Jamie Anderson,0.11073689918027844
26,Johnny Damon,0.0867210977854177
26,Kareem Abdul-Jabbar,0.13366637804081144
26,Arike Ogunbowale,0.11872993406750669
26,Jennie Finch Daigle,0.07653677392170971
26,Chris Mazdzer,0.09576974707605698
26,Mirai Nagasu,0.07453637765683081
26,Tonya Harding,0.09514525198285954
26,Josh Norman,0.11183708247695306
26,Adam Rippon,0.0963204564749118
25,Sasha Pieterse,0.05083974506690956
25,Frankie Muniz,0.081518718143096
25,Jordan Fisher,0.0856356982592578
25,Derek Fisher,0.07132338588337195
25,Nikki Bella,0.08149233905951082
25,Terrell Owens,0.08058011746447377
25,Victoria Arlen,0.09213428508410854
25,Barbara Corcoran,0.07205856020623984
25,Lindsey Stirling,0.07101350972966267
25,Debbie Gibson,0.08653513524108761
25,Nick Lachey,0.08059903349515833
25,Drew Scott,0.060861730501170754
25,Vanessa Lachey,0.08540774094460957
24,Charo,0.06919760056448598
24,Mr. T,0.06007929878509807
24,Heather Morris,0.06856301999820578
24,Nancy Kerrigan,0.11067745361532784
24,Bonner Bolton,0.06948666388896042
24,Simone Biles,0.09980601203067949
24,David Ross,0.0999454171474292
24,Rashad Jennings,0.13816954225445355
24,Chris Kattan,0.06132829845283724
24,Erika Jayne,0.07157187412169226
24,Normani,0.06827425483867944
24,Nick Viall,0.08290056430215062
23,Jake T. Austin,0.0845290416981375
23,Maureen McCormick,0.09628381218832
23,Marilu Henner,0.06532162433821279
23,Ryan Lochte,0.03297493192323441
23,Calvin Johnson Jr.,0.07605140991218529
23,Laurie Hernandez,0.09307197062287952
23,Amber Rose,0.08481299609460649
23,Rick Perry,0.06767289048549918
23,James Hinchcliffe,0.08833351052825958
23,Babyface,0.09008657371420792
23,Vanilla Ice,0.05883268455314252
23,Jana Kramer,0.07572924242437132
23,Terra Jole,0.08629931151694357
22,Mischa Barton,0.06162005499961657
22,Kim Fields,0.09597712846940298
22,Jodie Sweetin,0.06680632562515428
22,Doug Flutie,0.09275817384077864
22,Von Miller,0.08450873479456235
22,Antonio Brown,0.10546222716230015
22,Paige VanZant,0.06634464835147763
22,Geraldo Rivera,0.09344723567685247
22,Nyle DiMarco,0.10713070803579872
22,Ginger Zee,0.06385911088704663
22,Wanya Morris,0.07766989000216531
22,Marla Maples,0.08441576108353716
21,Gary Busey,0.0808946786658185
21,Alexa PenaVega,0.04788233975353538
21,Carlos PenaVega,0.029277167531877854
21,Victor Espinoza,0.07343336281491092
21,Alek Skarlatos,0.07506916720842326
21,Chaka Khan,0.06573549297533597
21,Andy Grammer,0.03387388407454536
21,Tamar Braxton,0.10945783992955854
21,Nick Carter,0.09214805464566389
21,Hayes Grier,0.08887863736034576
21,Bindi Irwin,0.1168382252406984
21,Kim Zolciak-Biermann,0.07980391997291322
21,Paula Deen,0.106707229826373
20,Suzanne Somers,0.07836119329432152
20,Willow Shields,0.08199035714273033
20,Riker Lynch,0.09098655336240843
20,Rumer Willis,0.1036211533474407
20,Nastia Liukin,0.08400772790819723
20,Michael Sam,0.06158708470804375
20,Robert Herjavec,0.0691747412122249
20,Charlotte McKinney,0.0908214891732396
20,Noah Galloway,0.10011236590551316
20,Redfoo,0.07567142833037127
20,Patti LaBelle,0.082763981187622
20,Chris Soules,0.08090192442788711
19,Antonio Sabato Jr.,0.06158805367939177
19,Jonathan Bennett,0.046296011777896315
19,Lea Thompson,0.0802397133710081
19,Janel Parrish,0.08314880229614231
19,Alfonso Ribeiro,0.12331999841509761
19,Lolo Jones,0.07057137590024368
19,Randy Couture,0.10316642302802331
19,Tommy Chong,0.07622771330930966
19,Betsey Johnson,0.053163554192263776
19,Michael Waltrip,0.07073337608903787
19,Tavis Smiley,0.062353259940816724
19,Bethany Mota,0.059178135427942806
19,Sadie Robertson,0.11001358257282591
18,Billy Dee Williams,0.06623561286428055
18,Danica McKellar,0.07268032074462849
18,James Maslow,0.0667970679177446
18,Candace Cameron Bure,0.07123119410602433
18,Sean Avery,0.1018428402673214
18,Diana Nyad,0.06232527304306222
18,Charlie White,0.08283149092354929
18,Amy Purdy,0.0863204236124412
