season,week,regime,celebrity_name,s_min,s_p10,s_p50,s_p90,s_max
27,2,percent,Juan Pablo Di Pace,0.0002544660773968655,0.010426039515493007,0.06925574685693538,0.1895192539449185,0.5648934754056915
27,2,percent,Evanna Lynch,0.00045657954603053685,0.00833168608168199,0.04822405150964085,0.1772604903281116,0.39638606562561757
27,2,percent,Nancy McKeon,0.0006348273539170398,0.010416930845562868,0.06595750422508656,0.1975657042383686,0.45196944102368836
27,2,percent,John Schneider,8.521885570313896e-05,0.008078908936222071,0.06107961033591203,0.18772006777633213,0.35525032510245863
27,2,percent,Milo Manheim,0.00013248753135317338,0.0087362698119655,0.058649087270403286,0.17526010789849164,0.44211386148522225
27,2,percent,Danelle Umstead,0.00042526732717081833,0.011177654499665433,0.06058715629644559,0.20206022142516716,0.3784276288697802
27,2,percent,Mary Lou Retton,0.0002681675575480044,0.008551270369089693,0.06130426361284512,0.18082068284506786,0.4382734367319441
27,2,percent,DeMarcus Ware,0.00015393171941963183,0.011701909852295717,0.06988152787756341,0.19319296920252463,0.4718324115696391
27,2,percent,Bobby Bones,0.00014094156860266818,0.014041320618400388,0.05869762795920617,0.1997850340528101,0.37174389294626453
27,2,percent,Tinashe,0.0001730783775471383,0.00920306391344681,0.05580595152003402,0.1952367538362462,0.36948418104372943
27,2,percent,Alexis Ren,2.054250294180162e-06,0.009280634529004185,0.0604105204033831,0.19373845793897537,0.40029199916853186
27,2,percent,Joe Amabile,6.323221652537079e-05,0.00865778711941671,0.059938035991072044,0.18117029587847172,0.4409303140754008
27,3,percent,Juan Pablo Di Pace,0.00010157968437169561,0.008783627136255445,0.061184143434094146,0.1848567549132978,0.5400315990783819
27,3,percent,Evanna Lynch,0.00030026797904218874,0.009982316860067768,0.06174872096067244,0.1900268468057224,0.3993289121817267
27,3,percent,Nancy McKeon,0.00019787735205858267,0.01195617607913856,0.07261112469925737,0.19527870143954357,0.41350970911982576
27,3,percent,John Schneider,0.0008751876700725998,0.00967977272068447,0.06160122144222514,0.21241365708323062,0.42409951529095374
27,3,percent,Milo Manheim,9.346514890003961e-05,0.010380866339026762,0.06007922810764828,0.2108376010088001,0.4658137404267844
27,3,percent,Mary Lou Retton,0.0008974456403280021,0.01062194796557128,0.06987331853815984,0.22143838557783754,0.43459176467470334
27,3,percent,DeMarcus Ware,4.623705098290772e-05,0.014656434190489863,0.06991286728891033,0.2030513037741526,0.4012462916917717
27,3,percent,Bobby Bones,4.466496629071269e-05,0.01054282385054589,0.06624672485488203,0.21281495719962862,0.3738679593730808
27,3,percent,Tinashe,7.985076505081651e-05,0.014698109832817009,0.07524230937875398,0.21638074641152344,0.6183033702840105
27,3,percent,Alexis Ren,3.6895032469889473e-05,0.011025575616386384,0.06348683772011077,0.21622012582507802,0.5392916641198928
27,3,percent,Joe Amabile,7.405541988604632e-05,0.015216802893117103,0.06993341789143959,0.19676455768473208,0.40600192575404087
27,4,percent,Juan Pablo Di Pace,0.0002538581228948453,0.009133474469809558,0.07453802863746165,0.2251380768304237,0.41095580403997495
27,4,percent,Evanna Lynch,0.0005263318380268054,0.016314853906182977,0.0759857280982292,0.23139025320793047,0.49048805525308176
27,4,percent,John Schneider,0.00029731391440389283,0.009674083022185895,0.0677651321746584,0.2274668659123447,0.5654190931879522
27,4,percent,Milo Manheim,0.00015046520768680806,0.012901305592128844,0.07500473240302505,0.24611789050872562,0.4734243413029624
27,4,percent,Mary Lou Retton,3.703637488183733e-06,0.011792724643854282,0.07067123245392173,0.2300665070324949,0.5007889442924528
