season,celebrity_name,timeframe,anchor_term,mean_interest,mean_anchor,fame_ratio,status,notes,log_fame_ratio
1,Evander Holyfield,2005-05-02 2005-05-31,Barack Obama,0.0,0.0,,anchor_zero_or_nan,Anchor mean interest was 0/NaN; cannot scale.,
1,Joey McIntyre,2005-05-02 2005-05-31,Barack Obama,1.5666666666666667,0.0,,anchor_zero_or_nan,Anchor mean interest was 0/NaN; cannot scale.,
1,John O'Hurley,2005-05-02 2005-05-31,Barack Obama,0.0,0.0,,anchor_zero_or_nan,Anchor mean interest was 0/NaN; cannot scale.,
1,Kelly Monaco,2005-05-02 2005-05-31,Barack Obama,19.066666666666666,0.0,,anchor_zero_or_nan,Anchor mean interest was 0/NaN; cannot scale.,
1,Rachel Hunter,2005-05-02 2005-05-31,Barack Obama,28.566666666666666,0.0,,anchor_zero_or_nan,Anchor mean interest was 0/NaN; cannot scale.,
1,Trista Sutter,2005-05-02 2005-05-31,Barack Obama,0.0,0.0,,anchor_zero_or_nan,Anchor mean interest was 0/NaN; cannot scale.,
2,Drew Lachey,2005-12-06 2006-01-04,Barack Obama,0.0,4.833333333333333,0.0,ok,,0.0
2,George Hamilton,2005-12-06 2006-01-04,Barack Obama,2.9,4.833333333333333,0.6,ok,,0.4700036292457355
2,Giselle Fernandez,2005-12-06 2006-01-04,Barack Obama,2.7666666666666666,4.833333333333333,0.5724137931034483,ok,,0.4526118865338664
2,Jerry Rice,2005-12-06 2006-01-04,Barack Obama,12.133333333333333,4.833333333333333,2.510344827586207,ok,,1.2557142741299483
2,Kenny Mayne,2005-12-06 2006-01-04,Barack Obama,0.0,1.2666666666666666,0.0,ok,,0.0
2,Lisa Rinna,2005-12-06 2006-01-04,Barack Obama,1.4,1.2666666666666666,1.1052631578947367,ok,,0.7444404749474958
2,Master P,2005-12-06 2006-01-04,Barack Obama,5.8,1.2666666666666666,4.578947368421053,ok,,1.7190001149456269
2,Stacy Keibler,2005-12-06 2006-01-04,Barack Obama,28.133333333333333,1.2666666666666666,22.210526315789476,ok,,3.1446058962804058
2,Tatum O'Neal,2005-12-06 2006-01-04,Barack Obama,0.0,4.666666666666667,0.0,ok,,0.0
2,Tia Carrere,2005-12-06 2006-01-04,Barack Obama,46.8,4.666666666666667,10.028571428571427,ok,,2.400489307975417
3,Emmitt Smith,2006-08-13 2006-09-11,Barack Obama,3.3666666666666667,14.166666666666666,0.23764705882352943,ok,,0.21321204381329306
3,Harry Hamlin,2006-08-13 2006-09-11,Barack Obama,1.7,14.166666666666666,0.12,ok,,0.11332868530700317
3,Jerry Springer,2006-08-13 2006-09-11,Barack Obama,28.7,14.166666666666666,2.0258823529411765,ok,,1.1072027358731478
3,Joey Lawrence,2006-08-13 2006-09-11,Barack Obama,7.733333333333333,14.166666666666666,0.5458823529411765,ok,,0.4355948495601937
3,Mario Lopez,2006-08-13 2006-09-11,Barack Obama,7.066666666666666,6.833333333333333,1.0341463414634147,ok,,0.7100762426603933
3,Monique Coleman,2006-08-13 2006-09-11,Barack Obama,5.966666666666667,6.833333333333333,0.8731707317073172,ok,,0.6276325734493188
3,Sara Evans,2006-08-13 2006-09-11,Barack Obama,16.533333333333335,6.833333333333333,2.4195121951219516,ok,,1.229497907896182
3,Shanna Moakler,2006-08-13 2006-09-11,Barack Obama,23.066666666666666,6.833333333333333,3.3756097560975613,ok,,1.476045882920388
3,Tucker Carlson,2006-08-13 2006-09-11,Barack Obama,9.266666666666667,12.566666666666666,0.7374005305039789,ok,,0.5523900481872412
3,Vivica A. Fox,2006-08-13 2006-09-11,Barack Obama,0.36666666666666664,12.566666666666666,0.029177718832891244,ok,,0.028760152175262677
3,Willa Ford,2006-08-13 2006-09-11,Barack Obama,9.9,12.566666666666666,0.7877984084880637,ok,,0.5809849234642963
4,Apolo Anton Ohno,2007-02-17 2007-03-18,Barack Obama,0.7666666666666667,59.766666666666666,0.012827663134411601,ok,,0.012746085556105726
4,Billy Ray Cyrus,2007-02-17 2007-03-18,Barack Obama,4.466666666666667,59.766666666666666,0.0747350808700502,ok,,0.07207419480923351
4,Clyde Drexler,2007-02-17 2007-03-18,Barack Obama,0.8333333333333334,59.766666666666666,0.013943112102621306,ok,,0.013846801132291265
4,Heather Mills,2007-02-17 2007-03-18,Barack Obama,22.8,59.766666666666666,0.3814835471277189,ok,,0.3231579558842267
4,Ian Ziering,2007-02-17 2007-03-18,Barack Obama,0.9666666666666667,59.766666666666666,0.016174010039040714,ok,,0.016044604214770754
4,Joey Fatone,2007-02-17 2007-03-18,Barack Obama,0.6666666666666666,59.766666666666666,0.011154489682097044,ok,,0.011092737149718175
4,John Ratzenberger,2007-02-17 2007-03-18,Barack Obama,0.13333333333333333,59.766666666666666,0.002230897936419409,ok,,0.002228413178426162
4,Laila Ali,2007-02-17 2007-03-18,Barack Obama,1.9,59.766666666666666,0.03179029559397657,ok,,0.03129544446723762
4,Leeza Gibbons,2007-02-17 2007-03-18,Barack Obama,0.6666666666666666,59.766666666666666,0.011154489682097044,ok,,0.011092737149718175
4,Paulina Porizkova,2007-02-17 2007-03-18,Barack Obama,2.3,59.766666666666666,0.0384829894032348,ok,,0.0377609842318795
4,Shandi Finnessey,2007-02-17 2007-03-18,Barack Obama,2.9,59.766666666666666,0.04852203011712214,ok,,0.04738158221886201
5,Albert Reed,2007-08-25 2007-09-23,Barack Obama,5.7,37.56666666666667,0.15173025732031942,ok,,0.141265383224259
5,Cameron Mathison,2007-08-25 2007-09-23,Barack Obama,2.8333333333333335,37.56666666666667,0.07542147293700088,ok,,0.07271265258948345
5,Floyd Mayweather Jr.,2007-08-25 2007-09-23,Barack Obama,0.0,37.56666666666667,0.0,ok,,0.0
5,Helio Castroneves,2007-08-25 2007-09-23,Barack Obama,2.3,37.56666666666667,0.06122448979591836,ok,,0.059423420470800736
5,Jane Seymour,2007-08-25 2007-09-23,Barack Obama,8.866666666666667,34.9,0.25405921680993315,ok,,0.22638566343225935
5,Jennie Garth,2007-08-25 2007-09-23,Barack Obama,5.3,34.9,0.1518624641833811,ok,,0.1413801664165939
5,Josie Maran,2007-08-25 2007-09-23,Barack Obama,11.8,34.9,0.33810888252149,ok,,0.2912573354664702
5,Marie Osmond,2007-08-25 2007-09-23,Barack Obama,4.466666666666667,34.9,0.1279847182425979,ok,,0.12043260532682547
5,Mark Cuban,2007-08-25 2007-09-23,Barack Obama,12.366666666666667,56.36666666666667,0.21939680662329983,ok,,0.19835631567832493
5,Mel B,2007-08-25 2007-09-23,Barack Obama,5.333333333333333,56.36666666666667,0.09461856889414547,ok,,0.0904059636749172
5,Sabrina Bryan,2007-08-25 2007-09-23,Barack Obama,8.366666666666667,56.36666666666667,0.14843287995269072,ok,,0.13839829995268993
5,Wayne Newton,2007-08-25 2007-09-23,Barack Obama,9.466666666666667,56.36666666666667,0.16794795978710822,ok,,0.15524832843664194
6,Adam Carolla,2008-02-16 2008-03-16,Barack Obama,1.3666666666666667,55.766666666666666,0.024506873879258817,ok,,0.02421139817090113
6,Cristian de la Fuente,2008-02-16 2008-03-16,Barack Obama,0.43333333333333335,55.766666666666666,0.007770472205618649,ok,,0.007740437574976794
6,Jason Taylor,2008-02-16 2008-03-16,Barack Obama,1.3666666666666667,55.766666666666666,0.024506873879258817,ok,,0.02421139817090113
6,Kristi Yamaguchi,2008-02-16 2008-03-16,Barack Obama,0.36666666666666664,55.766666666666666,0.0065750149432157795,ok,,0.006553493815448064
6,Mario,2008-02-16 2008-03-16,Barack Obama,76.76666666666667,15.7,4.889596602972399,ok,,1.7731875068583591
6,Marissa Jaret Winokur,2008-02-16 2008-03-16,Barack Obama,0.1,15.7,0.006369426751592357,ok,,0.006349227678658746
6,Marlee Matlin,2008-02-16 2008-03-16,Barack Obama,0.26666666666666666,15.7,0.016985138004246284,ok,,0.016842503394497485
6,Monica Seles,2008-02-16 2008-03-16,Barack Obama,0.16666666666666666,15.7,0.010615711252653927,ok,,0.010559760215002255
6,Penn Jillette,2008-02-16 2008-03-16,Barack Obama,0.13333333333333333,56.13333333333333,0.0023752969121140144,ok,,0.0023724803536303877
6,Priscilla Presley,2008-02-16 2008-03-16,Barack Obama,1.8666666666666667,56.13333333333333,0.0332541567695962,ok,,0.03271319740630268
